-0.006848x + 11292.81+..~..=10997.468758527217	 8517 Points (+/- 351.5487585272167)	[8/13/2019 - 21:29:50]
-0.006963x + 11292.81+..~..=11003.11748373613	 8519 Points (+/- 365.00748373612987)	[8/13/2019 - 21:30:17]
-0.007078x + 11292.81+..~..=11000.605711004573	 8521 Points (+/- 362.4957110045725)	[8/13/2019 - 21:30:45]
-0.007136x + 11292.81+..~..=10999.412991324856	 8522 Points (+/- 361.3029913248556)	[8/13/2019 - 21:31:12]
-0.007253x + 11292.81+..~..=11001.798267120155	 8524 Points (+/- 378.7382671201558)	[8/13/2019 - 21:31:39]
-0.007370x + 11292.81+..~..=10997.492084171923	 8526 Points (+/- 374.43208417192363)	[8/13/2019 - 21:32:7]
-0.007488x + 11292.81+..~..=10996.144316187017	 8528 Points (+/- 382.6743161870181)	[8/13/2019 - 21:32:34]
-0.007606x + 11292.81+..~..=10992.315544776971	 8530 Points (+/- 378.845544776972)	[8/13/2019 - 21:33:2]
-0.007665x + 11292.81+..~..=10989.761468454062	 8531 Points (+/- 375.1914684540625)	[8/13/2019 - 21:33:29]
-0.007783x + 11292.81+..~..=10987.15477019486	 8533 Points (+/- 372.58477019486054)	[8/13/2019 - 21:33:56]
-0.007902x + 11292.81+..~..=10995.735838023233	 8535 Points (+/- 393.04583802323214)	[8/13/2019 - 21:34:24]
